Unnamed: 0,consecutivo,Id,fecha,anio,mes,dia,dia_sem,rango_hora,mun,calle_1,calle_2,lon,lat,tipo_siniestro,condicion_usuario,tipo_usuario,ibaen_atro,sexo,rango_edad,consecuencia
3,26558,2019-01-01-100002-EHGR-22:00 A 23:59,2019-01-01,2019,Enero,1,martes,23:00 a 23:59,Guadalajara,Basilio Vadillo,Javier Mina,-103.3161,20.66837,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte Empresarial O De Personal,Camioneta De Pasajeros,No especificado,No disponible,Ileso
4,26559,2019-01-01-100002-EHGR-22:00 A 23:59,2019-01-01,2019,Enero,1,martes,23:00 a 23:59,Guadalajara,Basilio Vadillo,Javier Mina,-103.3161,20.66837,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte de Carga,Camioneta De Carga,No especificado,No disponible,Lesionado
5,26560,2019-01-01-53946-SISCAV-04:00 A 05:59,2019-01-01,2019,Enero,1,martes,05:00 a 05:59,Guadalajara,8 De Julio,Calle 5 Zi,-103.3648,20.63889,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Hombre,28-37,Ileso
6,26561,2019-01-01-53946-SISCAV-04:00 A 05:59,2019-01-01,2019,Enero,1,martes,05:00 a 05:59,Guadalajara,8 De Julio,Calle 5 Zi,-103.3648,20.63889,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Hombre,18-27,Lesionado
7,26562,2019-01-01-53946-SISCAV-04:00 A 05:59,2019-01-01,2019,Enero,1,martes,05:00 a 05:59,Guadalajara,8 De Julio,Calle 5 Zi,-103.3648,20.63889,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte de Carga,Camion De Carga,Hombre,48-59,Ileso
8,26563,2019-01-01-53949-SISCAV-00:00 A 01:59,2019-01-01,2019,Enero,1,martes,01:00 a 01:59,Zapopan,Cruz Del Sur Av,Patria Av,-103.4059,20.63018,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte de Carga,Camion De Carga,Hombre,18-27,Ileso
9,26564,2019-01-01-53949-SISCAV-00:00 A 01:59,2019-01-01,2019,Enero,1,martes,01:00 a 01:59,Zapopan,Cruz Del Sur Av,Patria Av,-103.4059,20.63018,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte de Carga,Camioneta De Carga,Hombre,18-27,Lesionado
10,26565,2019-01-01-53949-SISCAV-00:00 A 01:59,2019-01-01,2019,Enero,1,martes,01:00 a 01:59,Zapopan,Cruz Del Sur Av,Patria Av,-103.4059,20.63018,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Hombre,18-27,Lesionado
11,26566,2019-01-01-53949-SISCAV-00:00 A 01:59,2019-01-01,2019,Enero,1,martes,01:00 a 01:59,Zapopan,Cruz Del Sur Av,Patria Av,-103.4059,20.63018,Colision Entre Dos o Mas Vehiculos,Pasajero,Vehiculo Particular,Automovil,Mujer,No disponible,Lesionado
12,26567,2019-01-01-53949-SISCAV-00:00 A 01:59,2019-01-01,2019,Enero,1,martes,01:00 a 01:59,Zapopan,Cruz Del Sur Av,Patria Av,-103.4059,20.63018,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte de Carga,Camion De Carga,Hombre,38-47,Ileso
13,26570,2019-01-01-53955-SISCAV-10:00 A 11:59,2019-01-01,2019,Enero,1,martes,10:00 a 10:59,Guadalajara,Del Ejercito Calz,Los Angeles,-103.3347,20.65994,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Hombre,28-37,Ileso
14,26571,2019-01-01-53955-SISCAV-10:00 A 11:59,2019-01-01,2019,Enero,1,martes,10:00 a 10:59,Guadalajara,Del Ejercito Calz,Los Angeles,-103.3347,20.65994,Colision Entre Dos o Mas Vehiculos,Pasajero,Vehiculo Particular,Automovil,Mujer,No disponible,Lesionado
15,26572,2019-01-01-53955-SISCAV-10:00 A 11:59,2019-01-01,2019,Enero,1,martes,10:00 a 10:59,Guadalajara,Del Ejercito Calz,Los Angeles,-103.3347,20.65994,Colision Entre Dos o Mas Vehiculos,Pasajero,Vehiculo Particular,Automovil,Mujer,No disponible,Lesionado
16,26573,2019-01-01-53955-SISCAV-10:00 A 11:59,2019-01-01,2019,Enero,1,martes,10:00 a 10:59,Guadalajara,Del Ejercito Calz,Los Angeles,-103.3347,20.65994,Colision Entre Dos o Mas Vehiculos,Pasajero,Vehiculo Particular,Automovil,Mujer,No disponible,Lesionado
17,26574,2019-01-01-53955-SISCAV-10:00 A 11:59,2019-01-01,2019,Enero,1,martes,10:00 a 10:59,Guadalajara,Del Ejercito Calz,Los Angeles,-103.3347,20.65994,Colision Entre Dos o Mas Vehiculos,Pasajero,Vehiculo Particular,Automovil,Hombre,No disponible,Lesionado
18,26575,2019-01-01-53955-SISCAV-10:00 A 11:59,2019-01-01,2019,Enero,1,martes,10:00 a 10:59,Guadalajara,Del Ejercito Calz,Los Angeles,-103.3347,20.65994,Colision Entre Dos o Mas Vehiculos,Pasajero,Vehiculo Particular,Automovil,Hombre,No disponible,Lesionado
19,26576,2019-01-01-53955-SISCAV-10:00 A 11:59,2019-01-01,2019,Enero,1,martes,10:00 a 10:59,Guadalajara,Del Ejercito Calz,Los Angeles,-103.3347,20.65994,Colision Entre Dos o Mas Vehiculos,Pasajero,Vehiculo Particular,Automovil,Mujer,No disponible,Lesionado
